khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
2Tân Tiến,phường,"Phường Hương Gián, Phường Tân Tiến, Xã Xuân Phú",25.46,Tân Tiến,tỉnh Bắc Ninh,34321,"Trụ sở Đảng ủy, HĐND, UBND phường Tân Tiến (cũ)",25679474
2Cảnh Thụy,phường,"Phường Cảnh Thụy, Xã Tiến Dũng, Xã Tư Mại",27.73,Cảnh Thụy,tỉnh Bắc Ninh,26928,"Trụ sở Đảng ủy, HĐND, UBND phường Canh Thụy (cũ)",27785793
2Vân Hà,phường,"Phường Ninh Sơn, Phường Quảng Minh, Xã Tiên Sơn, Xã Trung Sơn, Xã Vân Hà",43.17,Vân Hà,tỉnh Bắc Ninh,58177,"Trụ sở Đảng ủy, HĐND, UBND phường Ninh Sơn (cũ)",43637905
2Nếnh,phường,"Phường Quang Châu, Phường Vân Trung, Phường Tăng Tiến, Phường Nếnh",35.98,Nếnh,tỉnh Bắc Ninh,55559,"Trụ sở Đảng ủy, HĐND, UBND phường Nếnh (cũ)",36551820
2Quế Võ,phường,"Phường Phố Mới, Phường Bằng An, Phường Việt Hùng, Phường Quế Tân",23.51,Quế Võ,tỉnh Bắc Ninh,40194,Trụ sở Thị ủy và UBND thị xã Quế Võ (cũ),23517287
2Nhân Hòa,phường,"Phường Đại Xuân, Phường Nhân Hòa, Xã Việt Thống",20.3,Nhân Hòa,tỉnh Bắc Ninh,30909,"Trụ sở Đảng ủy, HĐND, UBND phường Đại Xuân (cũ)",20152108
2Phương Liễu,phường,"Phường Phượng Mao, Phường Phương Liễu",13.37,Phương Liễu,tỉnh Bắc Ninh,42255,"Trụ sở Đảng ủy, HĐND, UBND phường Phương Liễu (cũ)",13427735
2Đào Viên,phường,"Phường Phù Lương, Xã Ngọc Xá, Xã Đào Viên",26.63,Đào Viên,tỉnh Bắc Ninh,34724,"Trụ sở Đảng ủy, HĐND, UBND phường Đào Viên (cũ)",27018785
2Tự Lạn,phường,"Phường Tự Lạn, Xã Việt Tiến, Xã Thượng Lan, Xã Hương Mai",39.89,Tự Lạn,tỉnh Bắc Ninh,45470,"Trụ sở Đảng ủy, HĐND, UBND phường Tự Lạn (cũ)",40484445
2Việt Yên,phường,"Phường Bích Động, Phường Hồng Thái, Xã Minh Đức, Xã Nghĩa Trung",51.97,Việt Yên,tỉnh Bắc Ninh,59470,"Trụ sở Đảng ủy, HĐND, UBND phường Bích Động (cũ)",51498750
2Bồng Lai,phường,"Phường Cách Bi, Phường Bồng Lai, Xã Mộ Đạo",19.76,Bồng Lai,tỉnh Bắc Ninh,25375,"Trụ sở Đảng ủy, HĐND, UBND phường Bồng Lai (cũ)",19902622
2Từ Sơn,phường,"Phường Đông Ngàn, Phường Tân Hồng, Phường Phù Chẩn, Phường Đình Bảng",20.31,Từ Sơn,tỉnh Bắc Ninh,65697,Trụ sở Thành ủy và UBND TP Từ Sơn (cũ),20382646
2Thuận Thành,phường,"Phường Hồ, Phường Song Hồ, Phường Gia Đông, Xã Đại Đồng Thành",26.58,Thuận Thành,tỉnh Bắc Ninh,52318,Trụ sở Thị ủy và UBND thị xã Thuận Thành (cũ),26410173
2Mão Điền,phường,"Phường An Bình, Xã Hoài Thượng, Xã Mão Điền",19.5,Mão Điền,tỉnh Bắc Ninh,42785,"Trụ sở Đảng ủy, HĐND, UBND xã Mão Điền (cũ)",19647199
2Trí Quả,phường,"Phường Thanh Khương, Phường Trí Quả, Xã Đình Tổ",19.95,Trí Quả,tỉnh Bắc Ninh,34574,"Trụ sở Đảng ủy, HĐND, UBND phường Thanh Khương (cũ)",20129978
2Trạm Lộ,phường,"Phường Trạm Lộ, Xã Nghĩa Đạo",18.24,Trạm Lộ,tỉnh Bắc Ninh,21132,"Trụ sở Đảng ủy, HĐND, UBND phường Trạm (cũ)",18298238
2Tam Sơn,phường,"Phường Tương Giang, Phường Tam Sơn",14.11,Tam Sơn,tỉnh Bắc Ninh,28562,"Trụ sở Đảng ủy, HĐND, UBND phường Tam Sơn  (cũ)",14250604
2Phù Khê,phường,"Phường Châu Khê, Phường Hương Mạc, Phường Phù Khê",14.03,Phù Khê,tỉnh Bắc Ninh,50574,"Trụ sở Đảng ủy, HĐND, UBND phường Phù Khê (cũ)",14115515
2Đồng Nguyên,phường,"Phường Trang Hạ, Phường Đồng Kỵ, Phường Đồng Nguyên",12.64,Đồng Nguyên,tỉnh Bắc Ninh,46023,"Trụ sở Đảng ủy, HĐND, UBND phường Đồng Nguyên (cũ)",12583857
2Ninh Xá,phường,"Phường Ninh Xá, Xã Nguyệt Đức",15.81,Ninh Xá,tỉnh Bắc Ninh,22369,"Trụ sở Đảng ủy, HĐND, UBND phường Ninh Xá (cũ)",15861727
2Song Liễu,phường,"Phường Xuân Lâm, Phường Hà Mãn, Xã Ngũ Thái, Xã Song Liễu",17.75,Song Liễu,tỉnh Bắc Ninh,31758,"Trụ sở Đảng ủy, HĐND, UBND phường Xuân Lâm (cũ)",17850142
2Nam Sơn,phường,"Phường Vân Dương, Phường Nam Sơn",18.53,Nam Sơn,tỉnh Bắc Ninh,43511,"Trụ sở Đảng ủy, HĐND, UBND phường Nam Sơn (cũ)",18549249
2Hạp Lĩnh,phường,"Phường Khắc Niệm, Phường Hạp Lĩnh",12.65,Hạp Lĩnh,tỉnh Bắc Ninh,22630,"Trụ sở Đảng ủy, HĐND, UBND phường Hạp Lĩnh (cũ)",12730895
29Vũng Tàu,phường,"Phường 1, Phường 2, Phường 3, Phường 4, Phường 5 (thành phố Vũng Tàu), Phường Thắng Nhì, Phường Thắng Tam",16.86,Vũng Tàu,thành phố Hồ Chí Minh,117400,"87-89 Lý Thường Kiệt, phường 1, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu cũ",14890524
29Tam Thắng,phường,"Phường 7, Phường 8, Phường 9 (thành phố Vũng Tàu), Phường Nguyễn An Ninh",11.76,Tam Thắng,thành phố Hồ Chí Minh,86420,"603 Nguyễn An Ninh, phường Nguyễn An Ninh, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu cũ",11482825
29Rạch Dừa,phường,"Phường 10 (thành phố Vũng Tàu), Phường Thắng Nhất, Phường Rạch Dừa",19.7,Rạch Dừa,thành phố Hồ Chí Minh,76280,"219/28 Lưu Chí Hiếu, phường 10, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu cũ",12080987
29Phước Thắng,phường,"Phường 11, Phường 12 (thành phố Vũng Tàu)",47.35,Phước Thắng,thành phố Hồ Chí Minh,52580,"7A Nguyễn Gia Thiều, phường 12, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu cũ",46589059
29Bà Rịa,phường,"Phường Phước Trung, Phường Phước Nguyên, Phường Long Toàn, Phường Phước Hưng",15.55,Bà Rịa,thành phố Hồ Chí Minh,52260,"137 đường 27/4 phường Phước Trung, thành phố Bà Rịa, tỉnh Bà Rịa-Vũng Tàu cũ",15620151
29Tam Long,phường,"Phường Long Tâm, Xã Hòa Long, Xã Long Phước",34.7,Tam Long,thành phố Hồ Chí Minh,41130,"Xã Hòa Long, thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu cũ",34801590
29Long Hương,phường,"Xã Tân Hưng (thành phố Bà Rịa), Phường Kim Dinh, Phường Long Hương",41.22,Long Hương,thành phố Hồ Chí Minh,31450,"Đường Trịnh Đình Thảo, tổ 9, khu phố Kim Sơn, phường Kim Dinh, TP Bà Rịa, tỉnh Bà Rịa - Vũng Tàu cũ",40816388
29Phú Mỹ,phường,"Phường Phú Mỹ (thành phố Phú Mỹ), Phường Mỹ Xuân",65.56,Phú Mỹ,thành phố Hồ Chí Minh,40513,"Quốc lộ 51, phường Phú Mỹ - TP Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu cũ",70918404
29Tân Hải,phường,"Phường Tân Hòa, Phường Tân Hải",51.86,Tân Hải,thành phố Hồ Chí Minh,30297,"Phường Tân Hải, TP Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu cũ",52132826
29Tân Phước,phường,"Phường Phước Hòa, Phường Tân Phước",83.62,Tân Phước,thành phố Hồ Chí Minh,29363,"Đường Độc Lập, khu phố Tân Lộc, phường Phước Hòa, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu cũ",82118363
29Tân Thành,phường,"Phường Hắc Dịch, Xã Sông Xoài",61.63,Tân Thành,thành phố Hồ Chí Minh,33943,"Phường Hắc Dịch, TP Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu cũ",62017934
13Mường Thanh,phường,"Phường Noong Bua, Phường Nam Thanh, Xã Thanh Xương",27.56,Mường Thanh,tỉnh Điện Biên,25517,"Trụ sở Huyện ủy, HĐND và UBND huyện Điện Biên",28039675
13Điện Biên Phủ,phường,"Phường Him Lam, Phường Tân Thanh, Phường Mường Thanh, Phường Thanh Bình, Phường Thanh Trường, Xã Thanh Minh",56.75,Điện Biên Phủ,tỉnh Điện Biên,49205,"Trụ sở Thành ủy, HĐND và UBND TP Điện Biên Phủ",57876341
13Mường Lay,phường,"Phường Sông Đà, Phường Na Lay, Xã Lay Nưa, Xã Sá Tổng",222.65,Mường Lay,tỉnh Điện Biên,18208,"Trụ sở Thị ủy, HĐND và UBND thị xã Mường Lay",225948137
28Bình Phước,phường,"Phường Tân Phú, Phường Tân Đồng, Phường Tân Thiện, Phường Tân Bình, Phường Tân Xuân, Xã Tiến Hưng",86.4,Bình Phước,tỉnh Đồng Nai,11144,"Đường Cách Mạng Tháng Tám, phường Bình Phước.",86816987
28Đồng Xoài,phường,"Phường Tiến Thành, Xã Tân Thành (thành phố Đồng Xoài)",81.3,Đồng Xoài,tỉnh Đồng Nai,35887,"Quốc lộ 14, phường Đồng Xoài.",81742255
28Phước Long,phường,"Phường Long Thủy, Phường Thác Mơ, Phường Sơn Giang, Xã Phước Tín",71.88,Phước Long,tỉnh Đồng Nai,đang cập nhật,"Đường Lý Thái Tổ, phường Phước Long.",72133359
28Phước Bình,phường,"Phường Long Phước, Phường Phước Bình, Xã Bình Sơn (huyện Phú Riềng), Xã Long Giang",72.6,Phước Bình,tỉnh Đồng Nai,44771,"Tòa nhà B3, Trung tâm hành chính phường Phước Bình.",72928131
28Bình Long,phường,"Phường An Lộc, Phường Hưng Chiến, Phường Phú Đức, Xã Thanh Bình (huyện Hớn Quản)",49.1,Bình Long,tỉnh Đồng Nai,41048,"Đường Lê Quý Đôn, phường Bình Long.",49453073
28An Lộc,phường,"Phường Phú Thịnh, Xã Thanh Phú, Xã Thanh Lương",88.7,An Lộc,tỉnh Đồng Nai,35531,"Ấp Vườn Rau, phường Bình Long.",89149887
28Chơn Thành,phường,"Phường Hưng Long, Phường Thành Tâm, Phường Minh Thành",124.4,Chơn Thành,tỉnh Đồng Nai,415,"Đường Hồ Văn Huê, khu phố Trung Lợi, phường Chơn Thành.",125028032
28Minh Hưng,phường,"Phường Minh Long, Phường Minh Hưng",99.7,Minh Hưng,tỉnh Đồng Nai,34123,"Quốc lộ 13, khu phố 3B, phường Minh Hưng.",100138297
8Minh Xuân,phường,"Phường Ỷ La, Phường Tân Hà, Phường Phan Thiết, Phường Minh Xuân, Phường Tân Quang, Xã Kim Phú",34.9,Minh Xuân,tỉnh Tuyên Quang,72,đang cập nhật,44116220
8Nông Tiến,phường,"Phường Nông Tiến, Xã Tràng Đà, Xã Thái Bình",26.99,Nông Tiến,tỉnh Tuyên Quang,15393,đang cập nhật,25931314
8Mỹ Lâm,phường,"Phường Mỹ Lâm, Xã Mỹ Bằng, Xã Kim Phú",80.2,Mỹ Lâm,tỉnh Tuyên Quang,31446,đang cập nhật,72007180
8An Tường,phường,"Phường Hưng Thành, Phường An Tường, Xã Lưỡng Vượng, Xã An Khang, Xã Hoàng Khai",53.44,An Tường,tỉnh Tuyên Quang,42952,đang cập nhật,54344317
8Bình Thuận,phường,"Phường Đội Cấn, Xã Thái Long",45.16,Bình Thuận,tỉnh Tuyên Quang,47858,đang cập nhật,46971991
8Hà Giang 2,phường,"Phường Ngọc Hà, Phường Trần Phú, Phường Minh Khai, Phường Quang Trung, Xã Phong Quang",60.62,Hà Giang 2,tỉnh Tuyên Quang,331,đang cập nhật,62254754
8Hà Giang 1,phường,"Phường Nguyễn Trãi, Xã Phương Thiện, Xã Phương Độ, Phường Quang Trung",82.69,Hà Giang 1,tỉnh Tuyên Quang,21652,đang cập nhật,82475954
30Phú Khương,phường,"Phường 8 (thành phố Bến Tre), Phường Phú Khương, Xã Phú Hưng, Xã Nhơn Thạnh",24.97,Phú Khương,tỉnh Vĩnh Long,47059,UBND phường Phú Khương,25123059
30Phú Tân,phường,"Phường Phú Tân, Xã Hữu Định, Xã Phước Thạnh",26.58,Phú Tân,tỉnh Vĩnh Long,28568,UBND xã Hữu Định,26761563
30An Hội,phường,"Phường An Hội, Xã Mỹ Thạnh An, Xã Phú Nhuận, Xã Sơn Phú",31.9,An Hội,tỉnh Vĩnh Long,53476,UBND TP Bến Tre,31924797
30Sơn Đông,phường,"Phường 6, Xã Sơn Đông, Xã Tam Phước",23.48,Sơn Đông,tỉnh Vĩnh Long,34188,UBND xã Sơn Đông,23623923
30Bến Tre,phường,"Phường 7, Xã Bình Phú (thành phố Bến Tre), Xã Thanh Tân",31.99,Bến Tre,tỉnh Vĩnh Long,35917,UBND xã Bình Phú,32175602
30Trà Vinh,phường,"Phường 1, Phường 3, Phường 9 (thành phố Trà Vinh)",15.73,Trà Vinh,tỉnh Vĩnh Long,45397,đang cập nhật,15770334
30Long Đức,phường,"Phường 4 (thành phố Trà Vinh), Xã Long Đức",40.62,Long Đức,tỉnh Vĩnh Long,33662,đang cập nhật,39873864
30Hoà Thuận,phường,"Phường 5 (thành phố Trà Vinh), Xã Hòa Thuận",16.51,Hoà Thuận,tỉnh Vĩnh Long,25384,đang cập nhật,16445493
30Nguyệt Hoá,phường,"Phường 7, Phường 8 (thành phố Trà Vinh), Xã Nguyệt Hóa",21.14,Nguyệt Hoá,tỉnh Vĩnh Long,37066,đang cập nhật,21255890
30Trường Long Hoà,phường,"Phường 2 (thị xã Duyên Hải), Xã Trường Long Hòa",56.49,Trường Long Hoà,tỉnh Vĩnh Long,1615,đang cập nhật,48718117
30Long Châu,phường,"Phường 1, Phường 9 (thành phố Vĩnh Long), Phường Trường An",12.63,Long Châu,tỉnh Vĩnh Long,4948,UBND phường 1,12876150
30Tân Ngãi,phường,"Phường Tân Hòa, Phường Tân Hội, Phường Tân Ngãi",21.7,Tân Ngãi,tỉnh Vĩnh Long,31294,UBND phường Tân Hòa,21755804
30Thanh Đức,phường,"Phường 5 (thành phố Vĩnh Long), Xã Thanh Đức",16.49,Thanh Đức,tỉnh Vĩnh Long,35158,đang cập nhật,16948372
30Tân Hạnh,phường,"Phường 8 (thành phố Vĩnh Long), Xã Tân Hạnh",17.84,Tân Hạnh,tỉnh Vĩnh Long,32093,đang cập nhật,17963615
30Phước Hậu,phường,"Phường 3, Phường 4 (thành phố Vĩnh Long), Xã Phước Hậu",15.52,Phước Hậu,tỉnh Vĩnh Long,50839,UBND phường 3,15623069
30Duyên Hải,phường,"Phường 1 (thị xã Duyên Hải), Xã Long Toàn, Xã Dân Thành",69.63,Duyên Hải,tỉnh Vĩnh Long,24356,đang cập nhật,69489906
16Trúc Lâm,phường,"Phường Trúc Lâm, Xã Phú Sơn (thị xã Nghi Sơn), Xã Phú Lâm, Xã Tùng Lâm",81.05,Trúc Lâm,tỉnh Thanh Hóa,2395,Trụ sở phường Phú Lâm,81527041
16Hải Lĩnh,phường,"Xã Định Hải (thị xã Nghi Sơn), Phường Ninh Hải, Phường Hải Lĩnh",41.18,Hải Lĩnh,tỉnh Thanh Hóa,1833,Trụ sở phường Hải Lĩnh,40105633
16Đào Duy Từ,phường,"Phường Nguyên Bình, Phường Xuân Lâm",42.86,Đào Duy Từ,tỉnh Thanh Hóa,26206,đang cập nhật,42211454
16Tĩnh Gia,phường,"Phường Hải Hòa, Phường Bình Minh, Phường Hải Thanh, Xã Hải Nhân",32.18,Tĩnh Gia,tỉnh Thanh Hóa,58583,Trụ sở phường Hải Hòa,32404805
16Hải Bình,phường,"Phường Mai Lâm, Phường Tĩnh Hải, Phường Hải Bình",37.74,Hải Bình,tỉnh Thanh Hóa,3367,Trụ sở phường Mai Lâm,35711687
16Sầm Sơn,phường,"Phường Bắc Sơn (thành phố Sầm Sơn), Phường Quảng Tiến, Phường Quảng Cư, Phường Trung Sơn, Phường Trường Sơn, Phường Quảng Châu, Phường Quảng Thọ",30.29,Sầm Sơn,tỉnh Thanh Hóa,99866,"Trụ sở cơ quan Thành ủy, HĐND, UBND, UBMTTQ thành phố hiện nay",29477822
16Quảng Phú,phường,"Phường Quảng Hưng, Phường Quảng Tâm, Phường Quảng Thành, Phường Quảng Đông, Phường Quảng Thịnh, Phường Quảng Cát, Phường Quảng Phú",41.34,Quảng Phú,tỉnh Thanh Hóa,77543,"Trụ sở phường Quảng Hưng (Đảng ủy, đoàn thể) và Trụ sở phường Quảng Phú (chính quyền)",41784007
16Đông Quang,phường,"Phường Quảng Thắng, Xã Đông Vinh, Xã Đông Quang, Xã Đông Yên, Xã Đông Văn, Xã Đông Phú, Xã Đông Nam, Phường An Hưng",48.6,Đông Quang,tỉnh Thanh Hóa,61214,"Trụ sở phường An Hưng (Đảng ủy, đoàn thể) và Trụ sở xã Đông Văn (Chính quyền)",49279734
16Đông Tiến,phường,"Phường Đông Lĩnh, Phường Thiệu Khánh, Xã Đông Thanh, Xã Thiệu Vân, Xã Tân Châu, Xã Thiệu Giao, Xã Đông Tiến",41.97,Đông Tiến,tỉnh Thanh Hóa,57844,"Trụ sở Phường Đông Lĩnh (Đảng ủy, đoàn thể) và Trụ sở Phường Đông Tiên (Chính quyền)",45118732
16Đông Sơn,phường,"Phường Rừng Thông, Phường Đông Thịnh, Phường Đông Tân, Xã Đông Hòa, Xã Đông Minh, Xã Đông Hoàng, Xã Đông Khê, Xã Đông Ninh",41.71,Đông Sơn,tỉnh Thanh Hóa,5895,"Trụ sở Huyện ủy huyện Đông Sơn (Đảng ủy, đoàn thể) và Trụ sở UBND huyện Đông Sơn (Chính quyền)",39082693
16Hạc Thành,phường,"Phường Phú Sơn, Phường Lam Sơn, Phường Ba Đình, Phường Ngọc Trạo, Phường Đông Sơn (thành phố Thanh Hóa), Phường Trường Thi, Phường Điện Biên, Phường Đông Hương, Phường Đông Hải, Phường Đông Vệ, Phường Đông Thọ, Phường An Hưng",24.63,Hạc Thành,tỉnh Thanh Hóa,197142,Trụ sở UBND tỉnh,22463221
16Hàm Rồng,phường,"Phường Thiệu Dương, Phường Đông Cương, Phường Nam Ngạn, Phường Hàm Rồng, Phường Đông Thọ",20.88,Hàm Rồng,tỉnh Thanh Hóa,63166,"Trụ sở Phường Nam Ngạn (Đảng ủy, đoàn thể) và Trụ sở Phường Đông Cương (Chính quyền)",22688195
30Bình Minh,phường,"Xã Thuận An, Phường Thành Phước, Phường Cái Vồn",23.86,Bình Minh,tỉnh Vĩnh Long,34193,đang cập nhật,23663979
30Đông Thành,phường,"Phường Đông Thuận, Xã Đông Bình, Xã Đông Thạnh, Xã Đông Thành",44.35,Đông Thành,tỉnh Vĩnh Long,41793,UBND xã Đông Bình,44644500
30Cái Vồn,phường,"Xã Mỹ Hòa (thị xã Bình Minh), Xã Ngãi Tứ, Phường Thành Phước, Phường Cái Vồn",26.52,Cái Vồn,tỉnh Vĩnh Long,36031,đang cập nhật,27307423
16Nguyệt Viên,phường,"Phường Tào Xuyên, Phường Long Anh, Phường Hoằng Quang, Phường Hoằng Đại",22.3,Nguyệt Viên,tỉnh Thanh Hóa,"34,399","Trụ sở Phường Long Anh (Đảng ủy, đoàn thể) và Trụ sở Phường Hoằng Quang (Chính quyền)",22458147
16Tân Dân,phường,"Phường Hải An, Phường Tân Dân, Xã Ngọc Lĩnh",24.59,Tân Dân,tỉnh Thanh Hóa,22095,Trụ sở phường Tân Dân,24475956
16Ngọc Sơn,phường,"Xã Thanh Sơn (thị xã Nghi Sơn), Xã Thanh Thủy, Phường Hải Châu, Phường Hải Ninh",38.16,Ngọc Sơn,tỉnh Thanh Hóa,47911,Trụ sở phường Hải Ninh,36374853
16Bỉm Sơn,phường,"Phường Đông Sơn, Phường Lam Sơn, Phường Ba Đình (thị xã Bỉm Sơn), Xã Hà Vinh",51.84,Bỉm Sơn,tỉnh Thanh Hóa,45997,Trụ sở thị xã Bỉm Sơn,52136057
16Nam Sầm Sơn,phường,"Phường Quảng Vinh, Xã Quảng Minh, Xã Đại Hùng, Xã Quảng Giao",18.48,Nam Sầm Sơn,tỉnh Thanh Hóa,37572,Trụ sở UBND xã Đại Hùng ,18555598
16Quang Trung,phường,"Phường Bắc Sơn, Phường Ngọc Trạo, Phường Phú Sơn, Xã Quang Trung (thị xã Bỉm Sơn)",29.22,Quang Trung,tỉnh Thanh Hóa,32808,Trụ sở phường Ngọc Trạo,29293951
27Trảng Bàng,phường,"Phường An Hòa, Phường Trảng Bàng",36.97,Trảng Bàng,tỉnh Tây Ninh,53532,đang cập nhật,37082328
27An Tịnh,phường,"Phường Lộc Hưng, Phường An Tịnh",78.44,An Tịnh,tỉnh Tây Ninh,61212,đang cập nhật,78757281
27Gò Dầu,phường,"Phường Gia Bình, Thị trấn Gò Dầu, Xã Thanh Phước",43.09,Gò Dầu,tỉnh Tây Ninh,6634,đang cập nhật,43320755
27Gia Lộc,phường,"Xã Phước Đông (huyện Gò Dầu), Phường Gia Lộc",50.26,Gia Lộc,tỉnh Tây Ninh,37354,đang cập nhật,50616770
27Hòa Thành,phường,"Phường Long Thành Trung, Xã Long Thành Nam",97.29,Hòa Thành,tỉnh Tây Ninh,47167,đang cập nhật,20574253
27Thanh Điền,phường,"Phường Hiệp Tân, Xã Thanh Điền",30.73,Thanh Điền,tỉnh Tây Ninh,43528,đang cập nhật,30950756
27Long Hoa,phường,"Phường Long Thành Bắc, Phường Long Hoa, Xã Trường Hòa, Xã Trường Tây, Xã Trường Đông",55.99,Long Hoa,tỉnh Tây Ninh,106017,đang cập nhật,56548464
27Tân Ninh,phường,"Phường 1, Phường 2, Phường 3 (thành phố Tây Ninh), Phường IV, Phường Hiệp Ninh, Xã Thái Bình",21.35,Tân Ninh,tỉnh Tây Ninh,8936,đang cập nhật,21112204
27Ninh Thạnh,phường,"Phường Ninh Thạnh, Xã Bàu Năng, Xã Chà Là",52.66,Ninh Thạnh,tỉnh Tây Ninh,52249,đang cập nhật,34906806
27Bình Minh,phường,"Phường Ninh Sơn, Xã Tân Bình (thành phố Tây Ninh), Xã Bình Minh, Xã Thạnh Tân, Xã Suối Đá, Xã Phan",23.86,Bình Minh,tỉnh Tây Ninh,34193,đang cập nhật,104394590
25Thành Nhất,phường,"Phường Khánh Xuân, Phường Thành Nhất",32.22,Thành Nhất,tỉnh Đắk Lắk,52466,Trụ sở UBND phường Khánh Xuân,32290811
25Buôn Ma Thuột,phường,"Phường Thành Công, Phường Tân Tiến, Phường Tân Thành, Phường Tự An, Phường Tân Lợi, Xã Cư Êbur",71.99,Buôn Ma Thuột,tỉnh Đắk Lắk,169596,"Trụ sở UBND TP Buôn Ma Thuột, Văn phòng HĐND – UBND – 27 Trường Chinh, phường Tân Lợi",72128668
6Duy Tiên,phường,"Xã Chuyên Ngoại, Xã Trác Văn, Xã Yên Nam, Phường Hòa Mạc",28.93,Duy Tiên,tỉnh Ninh BÌnh,39957,Trụ sở Thị ủy - HĐND – UBND thị xã Duy Tiên,27358417
6Duy Tân,phường,"Phường Châu Giang, Xã Mộc Hoàn, Phường Hòa Mạc",28.86,Duy Tân,tỉnh Ninh BÌnh,28299,Trụ sở phường Châu Giang hiện nay,32992866
6Lê Hồ,phường,"Phường Đại Cương, Phường Đồng Hoá, Phường Lê Hồ",22.4,Lê Hồ,tỉnh Ninh BÌnh,đang cập nhật,Trụ sở của phường Lê Hồ hiện nay,22550806
6Nguyễn Úy,phường,"Phường Tượng Lĩnh, Phường Tân Sơn, Xã Nguyễn Úy",24.57,Nguyễn Úy,tỉnh Ninh BÌnh,đang cập nhật,Trụ sở phường Tượng Lĩnh hiện nay,24743342
6Đồng Văn,phường,"Phường Bạch Thượng, Phường Yên Bắc, Phường Đồng Văn",18.88,Đồng Văn,tỉnh Ninh BÌnh,34484,Trụ sở phường Yên Bắc hiện nay,19019181
6Duy Hà,phường,"Phường Duy Minh, Phường Duy Hải, Phường Hoàng Đông",15.46,Duy Hà,tỉnh Ninh BÌnh,24310,Trụ sở phường Duy Minh hiện nay,14734299
6Kim Thanh,phường,"Phường Tân Tựu, Xã Hoàng Tây",13.71,Kim Thanh,tỉnh Ninh BÌnh,đang cập nhật,Trụ sở phường Tân Tựu hiện nay,13808049
26Bắc Gia Nghĩa,phường,"Phường Quảng Thành, Phường Nghĩa Thành, Phường Nghĩa Đức, Xã Đắk Ha",250.55,Bắc Gia Nghĩa,tỉnh Lâm Đồng,3776,đang cập nhật,251494393
26Nam Gia Nghĩa,phường,"Phường Nghĩa Phú, Phường Nghĩa Tân, Xã Đắk R’Moan",80.58,Nam Gia Nghĩa,tỉnh Lâm Đồng,2365,Phường Nghĩa Tân,80629791
26Đông Gia Nghĩa,phường,"Phường Nghĩa Trung, Xã Đắk Nia",105.78,Đông Gia Nghĩa,tỉnh Lâm Đồng,24199,Phường Nghĩa Trung,105819904
6Kim Bảng,phường,"Phường Quế, Phường Ngọc Sơn, Xã Văn Xá",15.22,Kim Bảng,tỉnh Ninh BÌnh,23232,Trụ sở Thị ủy - HĐND - UBND thị xã Kim Bảng hiện nay,15061587
6Tam Chúc,phường,"Phường Ba Sao, Xã Khả Phong, Xã Thuỵ Lôi",46.56,Tam Chúc,tỉnh Ninh BÌnh,18114,Trụ sở xã Khả Phong hiện nay,47081882
6Lý Thường Kiệt,phường,"Xã Liên Sơn, Xã Thanh Sơn (thị xã Kim Bảng), Phường Thi Sơn",53.66,Lý Thường Kiệt,tỉnh Ninh BÌnh,22958,Trụ sở phường Thi Sơn hiện nay,58044981
6Châu Sơn,phường,"Phường Thanh Tuyền, Phường Châu Sơn, Thị trấn Kiện Khê",17.45,Châu Sơn,tỉnh Ninh BÌnh,33348,Trụ sở phường Châu Sơn hiện nay,17503613
6Phủ Lý,phường,"Phường Châu Cầu, Phường Thanh Châu, Phường Liêm Chính, Phường Quang Trung (thành phố Phủ Lý)",11.84,Phủ Lý,tỉnh Ninh BÌnh,62893,Trụ sở UBND tỉnh Hà Nam hiện nay,11945596
6Hà Nam,phường,"Phường Lam Hạ, Phường Tân Hiệp, Phường Quang Trung (thành phố Phủ Lý), Phường Hoàng Đông, Phường Tiên Nội, Xã Tiên Ngoại",29.98,Hà Nam,tỉnh Ninh BÌnh,33343,Trụ sở phường Tân Hiệp hiện nay,32419571
6Liêm Tuyền,phường,"Phường Tân Liêm, Xã Đinh Xá, Xã Trịnh Xá",21.44,Liêm Tuyền,tỉnh Ninh BÌnh,27781,Trụ sở phường Tân Liêm hiện nay,21282046
6Tiên Sơn,phường,"Phường Tiên Sơn, Phường Tiên Nội, Xã Tiên Ngoại",23.96,Tiên Sơn,tỉnh Ninh BÌnh,27062,Trụ sở xã Tiên Ngoại hiện nay,22225668
6Phù Vân,phường,"Phường Lê Hồng Phong, Xã Kim Bình, Xã Phù Vân",19.34,Phù Vân,tỉnh Ninh BÌnh,40927,Trụ sở của Sở GD-ĐT và MTTQ tỉnh Hà Nam hiện nay,14852745
