khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
20Kim Trà,phường,"Phường Hương Xuân, Phường Hương Chữ, Xã Hương Toàn",42.8,Kim Trà,thành phố Huế,36296,"232 Lý Nhân Tông, phường Kim Trà",42827816
20Hương Trà,phường,"Phường Tứ Hạ, Phường Hương Văn, Phường Hương Vân",83.28,Hương Trà,thành phố Huế,29979,"107 Cách mạng tháng 8, phường Hương Trà",83576015
20Kim Long,phường,"Phường Long Hồ, Phường Hương Long, Phường Kim Long",90.14,Kim Long,thành phố Huế,48999,"87 Phạm Thị Liên, phường Kim Long",90506856
20Phong Thái,phường,"Phường Phong An, Phường Phong Hiền, Xã Phong Sơn",187.02,Phong Thái,thành phố Huế,37406,"Tổ dân phố Bồ Điền, phường Phong Thái",187367389
22Kon Tum,phường,"Phường Quang Trung, Phường Quyết Thắng, Phường Thắng Lợi, Phường Trường Chinh, Phường Thống Nhất",19.14,Kon Tum,tỉnh Quảng Ngãi,77456,Phường Thắng Lợi,19092894
22Đăk Cấm,phường,"Phường Ngô Mây, Phường Duy Tân, Xã Đăk Cấm",66.33,Đăk Cấm,tỉnh Quảng Ngãi,29799,đang cập nhật,66686291
20Phong Quảng,phường,"Phường Phong Hải, Xã Quảng Công, Xã Quảng Ngạn",41.7,Phong Quảng,thành phố Huế,25728,"Thôn 2, phường Phong Quảng",41867261
22Trà Câu,phường,"Phường Phổ Văn, Phường Phổ Quang, Xã Phổ An, Xã Phổ Thuận",54.46,Trà Câu,tỉnh Quảng Ngãi,45524,UBND phường Phổ Văn,54346809
22Cẩm Thành,phường,"Phường Nguyễn Nghiêm, Phường Trần Hưng Đạo (thành phố Quảng Ngãi), Phường Nghĩa Chánh, Phường Chánh Lộ",7.93,Cẩm Thành,tỉnh Quảng Ngãi,60996,Thành ủy Quảng Ngãi,8046018
22Sa Huỳnh,phường,"Phường Phổ Thạnh, Xã Phổ Châu",49.95,Sa Huỳnh,tỉnh Quảng Ngãi,32396,UBND phường Phổ Thạnh,49938158
11Tam Thanh,phường,"Phường Tam Thanh, Xã Hoàng Đồng",27.35,Tam Thanh,tỉnh Lạng Sơn,30301,"Trụ sở Đảng ủy, HĐND, UBND xã Hoàng Đồng",27411530
11Kỳ Lừa,phường,"Phường Hoàng Văn Thụ, Thị trấn Cao Lộc, Xã Hợp Thành, Xã Tân Liên, Xã Gia Cát",0.0,Kỳ Lừa,tỉnh Lạng Sơn,đang cập nhật,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Cao Lộc",62403900
11Đông Kinh,phường,"Phường Vĩnh Trại, Phường Đông Kinh, Xã Yên Trạch, Xã Mai Pha",54.71,Đông Kinh,tỉnh Lạng Sơn,50436,"Trụ sở Đảng ủy, HĐND, UBND phường Vĩnh Trại",54898007
11Lương Văn Tri,phường,"Phường Chi Lăng, Xã Quảng Lạc",31.76,Lương Văn Tri,tỉnh Lạng Sơn,23136,"Trụ sở Đảng ủy, HĐND, UBND phường Chi Lăng",32055824
22Nghĩa Lộ,phường,"Phường Lê Hồng Phong, Phường Trần Phú, Phường Quảng Phú, Phường Nghĩa Lộ",17.07,Nghĩa Lộ,tỉnh Quảng Ngãi,73556,UBND phường Nghĩa Lộ,17049309
22Trương Quang Trọng,phường,"Phường Trương Quang Trọng, Xã Tịnh Ấn Tây, Xã Tịnh Ấn Đông, Xã Tịnh An",34.65,Trương Quang Trọng,tỉnh Quảng Ngãi,49308,UBND phường Trương Quang Trọng,35190645
22Đức Phổ,phường,"Phường Nguyễn Nghiêm (thị xã Đức Phổ), Phổ Hòa, Phổ Minh, Phổ Vinh, Phổ Ninh",69.33,Đức Phổ,tỉnh Quảng Ngãi,41358,UBND thị xã Đức Phổ,68847142
3Uông Bí,phường,"Phường Quang Trung, Phường Thanh Sơn, Phường Yên Thanh, Phường Trưng Vương",49.81,Uông Bí,tỉnh Quảng Ninh,59866,"Trụ sở Thành ủy, HĐND, UBND thành phố Uông Bí",50051328
3Yên Tử,phường,"Phường Phương Đông, Phường Phương Nam, Xã Thượng Yên Công",113.23,Yên Tử,tỉnh Quảng Ninh,38932,Trụ sở Ban Quản lý Di tích và Rừng quốc gia Yên Tử,113650685
